год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,,,линк,,время,Review,StoryYear,,,,Служебные отметки,LC
1140,Сахаров Василий,Ночь Сварога (5 книг),Ночь Сварога,"Наш человек, несколько необычный, но далеко не гений и не самый крутой боец, принимает участие в опасном эксперименте и проваливается в прошлое. Дороги назад нет, а вокруг 12-й век. Что делать дальше? Можно начать все с чистого листа, забиться в тихое теплое местечко и кайфовать. Ну, а можно поступить так, как велит честь и кровь, встать на сторону братьев-славян и за имеющиеся в запасе годы, выкопать могилу для целого Крестового похода.",**,2,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://www.litres.ru/serii-knig/noch-svaroga-132793/elektronnie-knigi/,,,#Н/Д,1140,,,,+++++,
1139,Меллер Юлия,"Не жизнь, а роман!",,"Наша героиня попадает в 12 век. Она верит, что её спасут и вернут обратно, ведь у неё остались дети и иначе не может быть. Ей надо выжить, продержаться, но...",***,3,закончено,46,ссылка на обзор,ссылка,,,,,,https://litnet.com/ru/book/ne-zhizn-a-roman-b152452,,,https://author.today/post/81098,1139,,,,+++++,
1132,Архипов Андрей,1. Поветлужье (Волжане 1),Волжане,"Рассказ об окраинах Киевской Руси и Волжской Булгарии начала XII века, по мере возможности автора приближенный к историческим реалиям.",****,4,издано,#Н/Д,#Н/Д,ссылка,,,"разбил цикл, заменил ссылку Ivlaoox 14/02/23",,,https://author.today/work/61428,,,#Н/Д,1132,,,,+++++,
1132,Архипов Андрей,2. Поветлужье (Волжане 2),Волжане,"Рассказ об окраинах Киевской Руси и Волжской Булгарии начала XII века, по мере возможности автора приближенный к историческим реалиям.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/62072,,,,,,,,+++++,
1132,Архипов Андрей,3. Ветлужская правда (Волжане 3),Волжане,"Рассказ об окраинах Киевской Руси и Волжской Булгарии начала XII века, по мере возможности автора приближенный к историческим реалиям.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/62076,,,,,,,,+++++,
1132,Архипов Андрей,4. Волжане (Волжане 4),Волжане,"Рассказ об окраинах Киевской Руси и Волжской Булгарии начала XII века, по мере возможности автора приближенный к историческим реалиям.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/62083,,,,,,,,+++++,
1129,"Красницкий Евгений, Посняков Андрей",Сотник. Половецкий след,Сотник,"1129 год. Турово-Пинское княжество. Все никак не заканчиваются мрачные времена, сгущаются тучи над Ратным – только в одном феврале месяце происходит сразу несколько смертей… Вроде бы несчастные случаи… но если копнуть глубже? И, как назло, погибают именно те, кто так или иначе полезен и лично сотнику Михаилу Лисовину, и воинскому селу Ратному. К тому же в селе объявляется весьма подозрительный волхв… Враги и завистники интригуют везде, даже в самых верхах; и вот уже Младшая стража во главе с сотником Михайлой обязана присоединиться к походу киевского князя Мстислава на половцев: отомстить за набеги, за помощь политическим конкурентам, ну и пограбить половецкие города и вежи. Битвы, погони, засады, предательства, гибель друзей… И так до конца и не знаешь, кто друг, а кто враг. Именно там, в бескрайних степях Дешт-и-Кыпчак, тянется за сотником кровавый половецкий след, след беды и ненависти.",***,3,закончено,325,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://www.litres.ru/evgeniy-krasnickiy/sotnik-poloveckiy-sled/,,,https://dzen.ru/a/ZEjBJIeb73DTU0pt,1129,,,,,
1128,Красницкий Евгений,7. Сотник. Не властью единой,Сотник,"1128 г. Турово-Пинское княжество. После возвращения из Царьграда Михайлу-сотника ожидает новая напасть: по ложному доносу его подозревают в предательстве интересов Мстислава Владимировича, главного князя Руси. Через турово-пинского князя Мише настойчиво предлагают срочно явиться в Киев для объяснений. Однако Михайла получает сведения о том, что до Киева его не довезут — убьют куда раньше. И что против его самого и его людей готовится военная провокация с последующим захватом всего Погорынья. Ехать нельзя, и не ехать тоже нельзя. Сотник принимает решение ехать и… не доехать. Он намерен тайно вернуться, найти и обезвредить врагов, обезопасить свою землю и восстановить свое доброе имя. Однако враги изворотливы и хитры. Их множество, и за ними — какая-то тайная сила…",***,3,издано,255,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,номер в цикле imryk 19/2,,,https://www.litres.ru/evgeniy-krasnickiy/sotnik-ne-vlastu-edinoy/,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-255-6316dce213d3a151d778ed7c,1128,,,,+++++,
1124,Красницкий Евгений,1. Беру все на себя,Отрок. Сотник,"Хотим мы того или не хотим, но такая беспощадная и зачастую грязная вещь, как политика, в той или иной степени касается каждого из нас. Политики же или, выражаясь иначе, управленцы высшего звена местного, регионального или общегосударственного уровня — такие же живые люди, как и все остальные, и ничто человеческое им не чуждо. Вот с этими-то людьми и предстоит столкнуться Мишке Лисовину в статусе уже не просто отрока, а сотника.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/270638,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,1. Внук сотника,Отрок,"Что произойдет, если в далеком прошлом окажется не десантник-спецназовец, способный пачками повергать супостатов голыми руками, не химик-физик-инженер, готовый пришпорить технический прогресс на страх врагам и на радость себе любимому, а обычный в общем-то человек, имеющий 'за душой' только знание теории управления да достаточно богатый жизненный опыт? Что будет, если он окажется в теле не князя, не богатыря, а подростка из припятской лесной глухомани? А может быть, существуют вещи более важные и даже спасительные, чем мордобойная квалификация или умение получать нитроглицерин из подручных средств, в полевых условиях? Вдруг, несмотря на разницу в девять веков, люди будут все теми же людьми, что и современники, и базовые ценности: любовь, честность, совесть, семейные узы, патриотизм - останутся все теми же?",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/455979,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,2. Бешеный Лис,Отрок,"XII век. Права человека, гуманное обращение с пленными, высший приоритет человеческой жизни… Все умещается в одном месте — ножнах, висящих на поясе победителя. Убей или убьют тебя. Как выжить в этих условиях тому, чье мировоззрение формировалось во второй половине ХХ столетия? Принять правила игры и идти по трупам? Не принимать? И быть убитым или стать рабом? Попытаться что-то изменить? Для этого все равно нужна сила. А если тебе еще нет четырнадцати, но жизнь спрашивает с тебя без скидок, как со взрослого, и то с одной, то с другой стороны грозит смерть? Если гибнут друзья, которых ты не смог защитить? Пока не набрал сил, пока великодушие — оружие сильного — не для тебя, стань хитрым, ловким и беспощадным, стань Бешеным Лисом.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/463750,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,2. Не по чину,Отрок. Сотник,"Общеизвестно, что управленец должен управлять. А что делать, если он сам оказался в положении управляемого? Что делать, если перед ним – управленцы более высокой квалификации, если они обладают реальной властью, а главное, информацией, которой не спешат делиться? Ответ, как это ни банально, все тот же – продолжать управлять. Тем более что события вынесли Мишку на новый, более высокий уровень, где и риски, и ставки гораздо больше, чем раньше, и где не сразу поймешь, в выигрыше ты или в полном провале. Впрочем, хороший управленец умеет любые провалы превращать в будущие победы, а на ошибках не только учится, но и оборачивает их к своей выгоде.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/374633,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,3. Покоренная сила,Отрок,"Уцелеть в бою, убить или обратить в бегство противника, конечно, победа, но вовсе не самая трудная. Во много крат труднее победить себя: увидеть грань между самоуважением и чванством, между гордостью и гордыней, между принципиальностью и упрямством. А увидев и поняв, суметь не переступить ее. Порой для этого нужно иными глазами посмотреть на окружающий мир, отказаться от привычных, устоявшихся за десятилетия взглядов. И совершенно неважно, когда формировались эти взгляды и привычки – в XX веке или в XII, потому что в любые времена справедливы слова: «Истинно силен тот, кто победил себя». Победа над собой – победа, при которой нет побежденных, потому что сила, которая повелевала тобой против твоей же воли, становится покоренной силой.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/469609,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,5. Ближний круг,Отрок,"«Если хочешь, чтобы что-то делалось как следует – делай это сам» – фраза для управленца запретная, свидетельствующая о его профессиональной несостоятельности. Если ты действительно хочешь чего-то добиться – подбери подходящих людей, организуй их в работоспособную структуру, замотивируй, сформулируй цели и задачи, обеспечь ресурсами… В теории все просто. Но вокруг тебя живые люди с собственными надеждами и стремлениями, амбициями и страстями, симпатиями и антипатиями. Но вокруг другие структуры, тайные и явные, преследующие какие-то свои, непонятные стороннему наблюдателю, цели. А на дворе XII век, и острое железо то и дело оказывается более весомым аргументом, чем деньги, власть, вера…",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/472650,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,6. Стезя и место,Отрок,"Место и роль – альфа и омега самоидентификации, отправная точка всех планов и расчетов. Определяешь правильно – есть надежда на реализацию планов. Определяешь неверно – все рассыпается, потому что либо в глазах окружающих ты ведешь себя «не по чину», либо для реализации планов не хватает ресурсов. Не определяешь вообще – становишься игрушкой в чужих руках, в силу того, что не имеешь возможности определить: правильные ли к тебе предъявляются требования и посильные ли ты ставишь перед собой задачи. Жизнь спрашивает без скидок и послаблений. Твое место – несовершеннолетний подросток, но ты выступаешь в роли распорядителя весьма существенных ресурсов, командира воинской силы, учителя и воспитателя сотни отроков. Если не можешь отказаться от этой роли, измени свое место в обществе. Иного не дано!",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/495917,,,#Н/Д,1124,,,,+++++,
1124,Красницкий Евгений,"7. Богам — божье, людям — людское",Отрок,"Берегись гнева богов, даже если на самом деле их нет: сила их – в вере людской. И чем дальше, тем очевидней становится эта истина для атеиста Михаила Ратникова. Что делать в таком случае? А принять как есть и не забывать об этом, просчитывая мотивации людей, чтобы предугадывать их поступки и использовать их на пользу роду Лисовинов. И оставить богам божье, а людям – людское. Тем более что и без богов забот хватает: только-только вернулась Младшая стража из похода за болота, как уже всему Погорынью и самому Ратному грозит беда от находников. Время отрокам взрослеть, а Мишке Лисовину становиться Сотником. Без скидок на возраст.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/495150,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Посняков Андрей",6. В ответе за всех.,Сотник,"Прошло два года после сражения Михайлы с ляхами, после появления в Ратном Тимки Кузнечика. Юный сотник вырос и возмужал – выросли и проблемы, как личные, так и общие. Что с урожаем? Чем кормить людей? Как избавиться от угрозы неотвратимого, быстро подбирающегося голода, вот-вот готового схватить за горло каждого! Еще одна напасть – в окрестностях Ратного стали находить трупы. К кому приведут следы? Неужто на выручку придется плыть в далекий Царьград? А ведь и придется, если надо, поскольку Миша Лисовин (наш современник Михаил Ратников) не простой юноша, а сотник, боярич, человек, который в ответе за всех! Кому верить, как жить, если ты – власть, если именно на тебя – надеются. Придется решать все вопросы, и каждое решение приведет к проблемам другим, еще более серьезным и мрачным…",**,2,закончено,213,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,из 2207 строки перенос pesh,,,https://www.litres.ru/evgeniy-krasnickiy/sotnik-v-otvete-za-vseh/?utm_source=yandex&utm_medium=cpc&utm_campaign=web_books_dsa_drr_feed%20607619718%7C47441382&utm_content=8258473698&utm_term=%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6_193&param_2=987239&_openstat=ZGlyZWN0LnlhbmRleC5ydTs0NzQ0MTM4Mjs4MjU4NDczNjk4O3lhbmRleC5ydTpwcmVtaXVt&yclid=7870287696385277951,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-213-624d2c8f585a0c414ac66429?&,1127,,,,+++++,
1124,"Красницкий Евгений, Посняков Андрей",Сотник (7 книг),Сотник,"Хотим мы того или не хотим, но такая беспощадная и зачастую грязная вещь, как политика, в той или иной степени касается каждого из нас. Политики же или, выражаясь иначе, управленцы высшего звена местного, регионального или общегосударственного уровня – такие же живые люди, как и все остальные, и ничто человеческое им не чуждо. Вот с этими-то людьми и предстоит столкнуться Мишке Лисовину в статусе уже не просто отрока, а сотника.",**,2,закончено,#Н/Д,#Н/Д,ссылка,07.02.23 16:50 ИВМ,,первые книги цикла imryk 22/2,,,https://www.litres.ru/serii-knig/otrok/sotnik/elektronnie-knigi/,,,#Н/Д,,,,,+++++,
1124,"Красницкий Евгений, Варюшенков Денис",3. Так не строят!,Отрок. Сотник,"Михайла Лисовин не мог предугадать, какой подарок сделал ему дядюшка, когда прислал в строящуюся Михайловскую крепость артель плотников. Мастера-то они оказались на все руки, а старшина артельный, Кондратий Сучок – вообще талантище. Но кабы только по плотницкому делу… А уж норов у артельного старшины! Дурацкая шутка в один момент ввергла его самого и его людей в долговое рабство. Как смириться с этим, если с детства не боялся ни бога, ни чёрта, привык идти поперек судьбы и смирение считал уделом слабых? На судное поле выйти с топором против меча? Запросто! Охмурить богатыршу, которая не каждому витязю по плечу? Ну да, чего мелочиться? И плевать, что сам лысый коротышка! Завести друга, которого опытные воины с дрожью поминают? Да тьфу на них! Вот только жизнь не любит тех, кто на неё плюёт, не обращая внимания на её предупреждения. И тогда начинаешь опасаться тех, кого всегда считал своей семьёй, и тех, кого и за людей-то никогда не считал. И с ними же приходится стоять на недостроенных стенах, защищая крепость от нежданных врагов. С ними же принимать бой, не давая осатаневшим от крови бунтовщикам раскатать по брёвнышкам и сжечь Ратное. А потом те, кто останется жив в страшной резне, выйдут вместе в Перунов круг, справляя тризну по братьям, ушедшим в светлый Ирий.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/518390,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Варюшенков Денис Евгеньевич",6. Сотник. Бывших не бывает,Отрок. Сотник,"Он был солдатом Ромейской империи — наследницы великого Рима. Воевал всю жизнь, достиг высоких чинов, потерял семью, но случилась последняя для него битва, и увечье перечеркнуло всю прежнюю жизнь. Теперь он иеромонах, волею судеб заброшенный далеко от родины — в глухой уголок Руси. В глухой её уголок. И в этой глуши творятся дела, потенциально способные повлиять на всю ойкумену. И ему надлежит встроиться в эти события. Вот только как понять — благо это или зло, Бог или враг рода человеческого направляет руку тех, кто встретился на пути — от приближённых туровского епископа до мальчишки-сотника и мужика-обозника? На чьей стороне сражаться отцу Меркурию — бывшему солдату Макарию? Впрочем, почему бывшему? Бывших не бывает…",***,3,пишется,345,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://ast.ru/book/sotnik-byvshikh-ne-byvaet-874304/,,,https://dzen.ru/a/ZLTCQc1mam-xadjY,1124,,,,,
1124,"Красницкий Евгений, Гамаюн Юрий",4. Перелом,Отрок,"Как относиться к меняющейся на глазах реальности? Даже если эти изменения не чья-то воля (злая или добрая – неважно!), а закономерное течение истории? Людям, попавшим под колесницу этой самой истории, от этого не легче. Происходит крушение привычного, устоявшегося уклада, и никому вокруг еще не известно, что смена общественного строя неизбежна. Им просто приходится уворачиваться от «обломков». Трудно и бесполезно винить в этом саму историю или богов, тем более, что всегда находится кто-то ближе – тот, кто имеет власть. Потому что власть – это, прежде всего, ответственность. Но кроме того – всегда соблазн. И претендентов на нее мало не бывает. А время перемен, когда все шатко и неопределенно, становится и временем обострения борьбы за эту самую власть, когда неизбежно вспыхивают бунты. Отсидеться в «хате с краю» не получится, тем более это не получится у людей с оружием – у воинов, которые могут как погубить всех вокруг, так и спасти. Главное – не ошибиться с выбором стороны.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/456446,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Кузнецова Елена",1. Женское оружие,Отрок. Ратнинские бабы,"Женский мир… Мужчинам он частенько непонятен, порой раздражает и возмущает, но тем не менее существует независимо от желания «сильной половины» рода человеческого, подчиняясь собственным законам, логике и видению окружающего. Это целая вселенная — со своими конфликтами и дипломатией, званиями и регалиями. Есть в этом мире и свое женское оружие. Как любое оружие, оно может быть опасно, особенно если использовать его без должного умения (а ведь на владение им не требуется получать разрешение, оно у женщин всегда при себе). Освоив его в совершенстве, женщина способна самым радикальным образом изменить жизнь хоть одного человека, хоть целого государства. Не каждая владеет своим оружием одинаково хорошо, есть и такие, которые даже не догадываются о его существовании, но… тоже его применяют — порой неосознанно, не отдавая себе в этом отчета, но применяют, и успешно. Разные, одним словом, бывают женщины, двух одинаковых днем с огнем не найдешь.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/282541,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Кузнецова Елена",2. Бабы строем не воюют,Отрок. Ратнинские бабы,"Законы управления и в женском мире действуют так же, как и везде. И если женщина – управленец слабый, неумелый, неопытный, не располагает достаточным материальным или интеллектуальным ресурсом, то она чаще прибегает к силе и принуждению, чем управленец, обладающий большими возможностями. Только вот сила и принуждение в женском мире зачастую выглядят совершенно иначе, чем в мире мужском, а советы и поучения управленцев-мужчин женщина воспринимает очень и очень по-своему. Она почти всегда найдет что возразить, но зачастую делает это только мысленно. А зачем возражать? Все равно устроит все так, как сама сочтет нужным.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/495918,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Кузнецова Елена",3. Уроки Великой Волхвы,Отрок. Ратнинские бабы,"Каждая женщина мечтает о счастье, но его надо не только заполучить, не только сохранить и защитить, но постоянно растить и вести вперёд, ибо любая остановка на выбранном пути – начало умирания. Но так уж устроен Женский Мир, что все тропки в нем – нехоженые. Никакой волшебный клубочек дорогу к счастью не укажет, по учебникам и картам её не проложишь. Хорошо, старшие могут хотя бы научить, как отличать твердую почву от опасной топи, лишь бы найти того, кто согласится учить. У Арины и Анны такая учительница нашлась – сама Великая Волхва. Ее учеба дорогого стоит, а жизнь устраивает свои «практические занятия» и признаёт только две оценки: усвоили материал – выжили, нет – кровью возьмет. И ладно, если только твоей.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/489217,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Кузнецова Елена",4. Позиционные игры,Отрок. Сотник,"Возвращаясь из дальнего и очень непростого похода, Мишка Лисовин, конечно, понимал, что дома долго отдыхать не придется – княжья милость не подарок, а ярмо, которое повесили на него и всю сотню, но хоть на какой-то отдых он вправе был надеяться. Не срослось: дома его ждали такие подарки судьбы – хоть назад в поход беги. Позиционная война – столь же кровавая и жестокая, как и любая другая, если не хуже: именно она планирует все будущие жертвы и защищает своих. Холопский бунт, вспыхнувший в Ратном в отсутствие сотни, стоил жизни многим односельчанам, и Корней, вместо торжественной встречи, приготовил внуку «подарочек» – расправу над отроками из Младшей стражи, чьи родители по глупости пошли за бунтовщиками. Отдать мальчишек на казнь – потерять всю Младшую стражу, не отдать – пойти на открытый бунт против воеводы и сотника. Едва-едва удалось, минуя Ратное, прорваться в крепость, а там свои сюрпризы посыпались, от соседа из-за болота. И разбираться надо со всеми проблемами одновременно – и с дедом, и с теми ратнинцами, что не рады малолетнему выскочке, и с заболотными соседями, да и про княжьи дела не забывать. Ни одну партию не отложишь и дополнительное время на раздумья не возьмешь. Вот и пришлось Ратникову вести игру на всех досках одновременно, причем извернуться надо так, чтобы и самому выиграть и чтобы партнёры по игре внакладе не остались.",*****,5,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/522667,,,#Н/Д,1124,,,,+++++,
1124,"Красницкий Евгений, Николаец Геннадий",5. Кузнечик,Отрок. Сотник,"Чего Михаил Ратников никак не мог предвидеть, так это того, что перепуганный мальчонка-христианин из-за болота подложит ему такую свинью. Ну, или наоборот, окажется подарком судьбы – это уж как посмотреть. Впрочем, поначалу никому в крепости и в голову не могло прийти, что за «неведому зверушку» привезли разведчики из лесу.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/580879,,,#Н/Д,1124,,,,+++++,
1116,Санфиров Александр,Путь к трону. Князь Глеб Таврический,,Попаданец во времена Византийской Империи на Новгородчину.,***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/440658,,,#Н/Д,1116,,,,+++++,
1110,Ген Сшен,Кабан Горилыч,,Попадание спортсмена на территорию Прибалтики.,**,2,пишется,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/s/sshen_g/ubludok.shtml,,,#Н/Д,1110,,,,+++++,
1100,Акулина,Новый день,,"Эрика не ждала, что из двадцать первого века когда-нибудь попадёт в двенадцатый, в глухие пески пустыни. И тем более не могла представить, что жизнь свою ей придётся проводить в вечных странствиях и поисках. Удастся ли ей выбраться в свой родной век? Погибнет ли она от рук тех, кто её ненавидит, или будет уничтожена теми, кто успел её полюбить?..",**,2,закончено,167,ссылка на обзор,ссылка,,,просмотрено pesh 14/02/23,,,https://author.today/work/146057,,XII век,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-167-6141872fb44bb37b51ee1495,1100,,,,+++++,
1099,Петров Владимир,Солнце Палестины,,Двадцатитрехлетняя девушка в результате теракта попадает во времена крестовых походов.,**,2,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/459090,,,#Н/Д,1099,,,,+++++,
1096,Кильмаев Евгений,Эммануэль,,"Я обратил свой взгляд во времена Крестового похода. Всё воинство Христово, отправилось на покорение Святой земли. Тогда был взят Иерусалим, о чём мы все прекрасно знаем. Но это в опусе моём, отражено не главной темой. Что было с теми кто остался дома? Как жили жёны тех кто воевать собрался? Их быт, их страхи, их судьбу, я попытаюсь изложить. Правдиво ль? Бога ради! Я лишь читал о том как жили в это время. И у меня вопрос. Зачем так Крестоносцы далеко попёрлись, коль воевать хотелось? Пол Испании ещё под маврами ходило. Казалось бы, вот место приложения твоих усилий. Однако, что то не срослось. Пускай в моём произведении оно случиться. Пусть в Реконкисту новая струя вольётся. Леон, Кастилия и Арагон подвинутся и покорятся новой силе, рождённой женщиной, оставшейся одной ""скучать"" по мужу. Он принял крест по зову Папы, славы и богатства вожделея, жену оставив в одиночестве. Да ладно. Перчинка есть! Наш попаданец в теле юной девы. Не просто ж так с ног на голову всё перевернулось.",***,3,закончено,282,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,"Произведениубрано с АТ, больше нигде нет. Ivlaoox 15/02/23",,,,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-282-6380429dc5d95c2dd9139e41,1096,,,,+++++,
1096,Фад Диана,Я нарисую тебя...,,"Купить краски и нарисовать портрет своей мечты, мужчину из другого мира. А затем проснуться и встретить его уже в 1096 году. Юля каким-то чудом оказалась в прошлом, в графстве великого графа Торгина, в плену, где все видят в ней ведьму, а не гостью из будущего. Как поступит граф с незнакомой красоткой и как сама Юля воспримет варварский мир? А как бы ей не влюбиться в этого могучего красавца? Так как неизвестно, что потом делать с этой любовью с разницей почти в тысячу лет.",**,2,пишется,274,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://author.today/work/227981,,,https://dzen.ru/a/Y2Ol7JtvRUS6TDHY,1096,,,,+++++,
1095,Муравьев Андрей,Меч на ладонях (3 книги),Меч на ладонях,"Фотограф из 1999, красноармеец из 1939, археолог и казачий есаул из 1898, в результате активизации некоего артифакта, оказываются в Гардарике.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/s/5727,,,#Н/Д,1095,,,,+++++,
1095,Шереметьев Дмитрий,Крестовый поход,,"Можно ли написать роман из банального сюжета? Что же поделаешь, если жизнь даёт нам только его. Хотя так ли он банален? Вчитайтесь в строки и решите для себя, что за жизнь была в те далёкие и великие времена. Века столкнулись в эпоху Крестовых походов, словно пласты земли и образовали новый континент. Новое время. Восток столкнулся с Западом и накатился на него, как волны солёного моря накатывают на берега Ливии. Но сумел ли он завладеть этими землями? Сумел ли смыть их, превратить в ничто? Конечно же нет. Сила земли оказалась не меньше силы волн. Но тот короткий промежуток времени помог на секунду соединиться мудрости Востока с глубиной Запада. Запад смог ощутить колючий ветер свободомыслия. Не было бы того Запада, который мы знаем без того Востока, который нам необходимо познать. Представьте себе простого человека оказавшегося на гребне волны. А если один из таких людей простой монах из 21 века? Разобьётся ли он или останется невредим и возвысится? Что ж. Узнаем….",***,3,пишется,330,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/265152,,,https://dzen.ru/a/ZGGy1guUKnBUmBHk,1095,,,,,
1090,Зайцев Виктор,Иду на вы!,,"Волхвы из 11 века призывают на алтарь жертвоприношений двух современных девушек через портал в заброшенной шахте, в поисках которых участвуют 3 сотрудника органов и мать одной из девушек. Девушек спасают, но оказывается, что они не особо были и нужны...",**,2,издано,#Н/Д,#Н/Д,ссылка,,,,,,http://flibusta.is/b/463975,,,#Н/Д,1090,,,,+++++,
1078,Дэй Катерина,Попала к Викингам,,"Каркушова Варвара Ивановна, обычная девчонка из глубинки, проживающая в селе Г. по совместительству актриса в том же селе, попала к самым отважным, безжалостным и властным викингам. Но унывать Каркушова не собиралась, а смирилась со своей участью 'неопознанного ходячего объекта' и смело преодолевала все преграды, которые ей выпали в этой эпохе...",**,2,закончено,81,ссылка на обзор,ссылка,,,завершено imryk 15/2,,,https://author.today/work/178599,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-81-5f545ac8019fb065e72d033d,1078,,,,+++++,
